title,description,instructions,difficulty,category,xp_reward,required_level,starter_code,solution,test_cases,learning_path
"Hello World","Write a function that returns Hello World","Create a function called `greet()` that returns the string 'Hello, World!'\n\n**Requirements:**\n- Function name: `greet`\n- No parameters\n- Returns: 'Hello, World!'","beginner","basics",10,1,"def greet():\n    # Write your code here\n    pass","def greet():\n    return 'Hello, World!'","[{""input"": """", ""expected_output"": ""Hello, World!"", ""description"": ""Should return Hello, World!""}]",""
"Sum Two Numbers","Calculate the sum of two numbers","Create a function called `add()` that takes two numbers as parameters and returns their sum.\n\n**Requirements:**\n- Function name: `add`\n- Parameters: `a`, `b` (both numbers)\n- Returns: sum of a and b\n\n**Example:**\n```python\nadd(2, 3)  # Returns 5\nadd(10, -5)  # Returns 5\n```","beginner","basics",10,1,"def add(a, b):\n    # Write your code here\n    pass","def add(a, b):\n    return a + b","[{""input"": ""2, 3"", ""expected_output"": ""5"", ""description"": ""2 + 3 should equal 5""}, {""input"": ""10, -5"", ""expected_output"": ""5"", ""description"": ""10 + (-5) should equal 5""}, {""input"": ""0, 0"", ""expected_output"": ""0"", ""description"": ""0 + 0 should equal 0""}]",""
"Even or Odd","Determine if a number is even or odd","Create a function called `is_even()` that takes a number and returns `True` if it's even, `False` if it's odd.\n\n**Requirements:**\n- Function name: `is_even`\n- Parameter: `number` (integer)\n- Returns: `True` or `False`\n\n**Hint:** Use the modulo operator (%) to check if a number is divisible by 2.","beginner","basics",15,1,"def is_even(number):\n    # Write your code here\n    pass","def is_even(number):\n    return number % 2 == 0","[{""input"": ""4"", ""expected_output"": ""True"", ""description"": ""4 is even""}, {""input"": ""7"", ""expected_output"": ""False"", ""description"": ""7 is odd""}, {""input"": ""0"", ""expected_output"": ""True"", ""description"": ""0 is even""}]",""
"Find Maximum","Find the maximum of three numbers","Create a function called `find_max()` that takes three numbers and returns the largest one.\n\n**Requirements:**\n- Function name: `find_max`\n- Parameters: `a`, `b`, `c` (all numbers)\n- Returns: the maximum value\n\n**Example:**\n```python\nfind_max(5, 10, 3)  # Returns 10\nfind_max(-1, -5, -3)  # Returns -1\n```","beginner","basics",15,1,"def find_max(a, b, c):\n    # Write your code here\n    pass","def find_max(a, b, c):\n    return max(a, b, c)","[{""input"": ""5, 10, 3"", ""expected_output"": ""10"", ""description"": ""Maximum of 5, 10, 3 is 10""}, {""input"": ""-1, -5, -3"", ""expected_output"": ""-1"", ""description"": ""Maximum of -1, -5, -3 is -1""}]",""
"Reverse String","Reverse a string","Create a function called `reverse_string()` that takes a string and returns it reversed.\n\n**Requirements:**\n- Function name: `reverse_string`\n- Parameter: `text` (string)\n- Returns: reversed string\n\n**Example:**\n```python\nreverse_string('hello')  # Returns 'olleh'\nreverse_string('Python')  # Returns 'nohtyP'\n```","beginner","basics",15,2,"def reverse_string(text):\n    # Write your code here\n    pass","def reverse_string(text):\n    return text[::-1]","[{""input"": ""hello"", ""expected_output"": ""olleh"", ""description"": ""Reverse of hello is olleh""}, {""input"": ""Python"", ""expected_output"": ""nohtyP"", ""description"": ""Reverse of Python is nohtyP""}, {""input"": """", ""expected_output"": """", ""description"": ""Empty string should return empty string""}]",""
"Count Vowels","Count vowels in a string","Create a function called `count_vowels()` that counts the number of vowels (a, e, i, o, u) in a given string. Count both uppercase and lowercase vowels.\n\n**Requirements:**\n- Function name: `count_vowels`\n- Parameter: `text` (string)\n- Returns: count of vowels (integer)\n\n**Example:**\n```python\ncount_vowels('hello')  # Returns 2 (e, o)\ncount_vowels('Python')  # Returns 1 (o)\ncount_vowels('AEIOU')  # Returns 5\n```","intermediate","basics",20,2,"def count_vowels(text):\n    # Write your code here\n    pass","def count_vowels(text):\n    vowels = 'aeiouAEIOU'\n    return sum(1 for char in text if char in vowels)","[{""input"": ""hello"", ""expected_output"": ""2"", ""description"": ""hello has 2 vowels""}, {""input"": ""Python"", ""expected_output"": ""1"", ""description"": ""Python has 1 vowel""}, {""input"": ""AEIOU"", ""expected_output"": ""5"", ""description"": ""AEIOU has 5 vowels""}]",""
"FizzBuzz","Implement FizzBuzz logic","Create a function called `fizzbuzz()` that takes a number and returns:\n- 'Fizz' if the number is divisible by 3\n- 'Buzz' if the number is divisible by 5\n- 'FizzBuzz' if divisible by both 3 and 5\n- The number as a string if not divisible by 3 or 5\n\n**Requirements:**\n- Function name: `fizzbuzz`\n- Parameter: `n` (integer)\n- Returns: string\n\n**Example:**\n```python\nfizzbuzz(3)   # Returns 'Fizz'\nfizzbuzz(5)   # Returns 'Buzz'\nfizzbuzz(15)  # Returns 'FizzBuzz'\nfizzbuzz(7)   # Returns '7'\n```","intermediate","algorithms",25,3,"def fizzbuzz(n):\n    # Write your code here\n    pass","def fizzbuzz(n):\n    if n % 15 == 0:\n        return 'FizzBuzz'\n    elif n % 3 == 0:\n        return 'Fizz'\n    elif n % 5 == 0:\n        return 'Buzz'\n    else:\n        return str(n)","[{""input"": ""3"", ""expected_output"": ""Fizz"", ""description"": ""3 is divisible by 3""}, {""input"": ""5"", ""expected_output"": ""Buzz"", ""description"": ""5 is divisible by 5""}, {""input"": ""15"", ""expected_output"": ""FizzBuzz"", ""description"": ""15 is divisible by both""}, {""input"": ""7"", ""expected_output"": ""7"", ""description"": ""7 is not divisible by 3 or 5""}]",""
"Palindrome Check","Check if a string is a palindrome","Create a function called `is_palindrome()` that checks if a string reads the same forwards and backwards. Ignore spaces and case.\n\n**Requirements:**\n- Function name: `is_palindrome`\n- Parameter: `text` (string)\n- Returns: `True` or `False`\n- Ignore spaces and case\n\n**Example:**\n```python\nis_palindrome('racecar')  # Returns True\nis_palindrome('hello')    # Returns False\nis_palindrome('A man a plan a canal Panama')  # Returns True\n```","intermediate","algorithms",25,3,"def is_palindrome(text):\n    # Write your code here\n    pass","def is_palindrome(text):\n    # Remove spaces and convert to lowercase\n    clean = text.replace(' ', '').lower()\n    return clean == clean[::-1]","[{""input"": ""racecar"", ""expected_output"": ""True"", ""description"": ""racecar is a palindrome""}, {""input"": ""hello"", ""expected_output"": ""False"", ""description"": ""hello is not a palindrome""}, {""input"": ""A man a plan a canal Panama"", ""expected_output"": ""True"", ""description"": ""Should ignore spaces and case""}]",""
"Factorial","Calculate factorial recursively","Create a function called `factorial()` that calculates the factorial of a number using recursion.\n\n**Requirements:**\n- Function name: `factorial`\n- Parameter: `n` (non-negative integer)\n- Returns: factorial of n\n- Must use recursion\n\n**Hint:** \n- factorial(0) = 1\n- factorial(n) = n * factorial(n-1)\n\n**Example:**\n```python\nfactorial(5)  # Returns 120 (5 * 4 * 3 * 2 * 1)\nfactorial(0)  # Returns 1\n```","advanced","algorithms",30,5,"def factorial(n):\n    # Write your code here\n    pass","def factorial(n):\n    if n == 0 or n == 1:\n        return 1\n    return n * factorial(n - 1)","[{""input"": ""5"", ""expected_output"": ""120"", ""description"": ""factorial(5) = 120""}, {""input"": ""0"", ""expected_output"": ""1"", ""description"": ""factorial(0) = 1""}, {""input"": ""3"", ""expected_output"": ""6"", ""description"": ""factorial(3) = 6""}]",""
"Binary Search","Implement binary search algorithm","Create a function called `binary_search()` that finds a target value in a sorted list using binary search.\n\n**Requirements:**\n- Function name: `binary_search`\n- Parameters: `arr` (sorted list), `target` (value to find)\n- Returns: index of target, or -1 if not found\n- Must use binary search algorithm\n\n**Example:**\n```python\nbinary_search([1, 3, 5, 7, 9], 5)  # Returns 2\nbinary_search([1, 3, 5, 7, 9], 6)  # Returns -1\n```","advanced","algorithms",35,6,"def binary_search(arr, target):\n    # Write your code here\n    pass","def binary_search(arr, target):\n    left, right = 0, len(arr) - 1\n    \n    while left <= right:\n        mid = (left + right) // 2\n        if arr[mid] == target:\n            return mid\n        elif arr[mid] < target:\n            left = mid + 1\n        else:\n            right = mid - 1\n    \n    return -1","[{""input"": ""[1, 3, 5, 7, 9], 5"", ""expected_output"": ""2"", ""description"": ""Find 5 in list""}, {""input"": ""[1, 3, 5, 7, 9], 6"", ""expected_output"": ""-1"", ""description"": ""6 is not in list""}, {""input"": ""[1, 2, 3, 4, 5], 1"", ""expected_output"": ""0"", ""description"": ""Find first element""}]",""
